,fermi_b,Run,altieri_entropy_index,graph_modularity
271,5.454545454545454,0,2.13316990436101,0.027360926534976238
365,7.373737373737374,0,1.6650841301971628,0.01722722032742738
215,4.343434343434343,0,1.6804542745785185,0.39063211469580084
390,7.878787878787879,0,1.6131288677560516,0.017884263710240406
221,4.444444444444445,0,1.8140409217362001,0.1106974296478237
225,4.545454545454545,0,1.8895358787068592,0.08898106382512158
228,4.646464646464646,0,1.8293816527221844,0.2504884772271456
385,7.777777777777778,0,1.7647413239190872,0.018216031188302867
382,7.6767676767676765,0,1.7266982829117505,0.018538397055535255
395,7.979797979797979,0,2.1373217153373587,0.01629539616944231
235,4.747474747474747,0,1.7493807263089252,0.05086748646865702
246,4.94949494949495,0,1.9043651914613389,0.09078095594272734
375,7.575757575757575,0,2.015703370932355,0.017640944669582354
250,5.05050505050505,0,1.73114575283084,0.0519686259771133
255,5.151515151515151,0,1.8887454995017359,0.08691740675278836
370,7.474747474747475,0,1.7187449235461647,0.017047854590318073
261,5.252525252525253,0,0.9252984265816928,0.030871500952813068
266,5.353535353535354,0,1.7245349151441274,0.04488171238614566
240,4.848484848484849,0,1.6408812630892124,0.07556030773037598
460,9.292929292929292,0,2.1376272159470395,0.015634349467174874
165,3.3333333333333335,0,1.9848466173657016,0.42350069997944545
480,9.696969696969697,0,1.742830977550279,0.016816802280909704
61,1.2121212121212122,0,2.1781879878042614,0.6069313809310117
26,0.5050505050505051,0,2.1961330599585582,0.7756589897615831
49,1.0101010101010102,0,2.173266650603313,0.6591804597878457
21,0.40404040404040403,0,2.085222591803606,0.6543292092080106
489,9.8989898989899,0,2.0380665430563276,0.016107267096310357
66,1.3131313131313131,0,2.095736598240267,0.5837569085456907
465,9.393939393939394,0,2.092399001078459,0.017649766896224633
37,0.7070707070707071,0,2.1631792909754184,0.7225607214391045
15,0.30303030303030304,0,2.0463826977078,0.6869164871242434
484,9.797979797979798,0,1.7897038239943752,0.016286926310267763
470,9.494949494949495,0,1.7351969946915693,0.017440357089406167
55,1.1111111111111112,0,2.1951483548760686,0.6487044318169299
70,1.4141414141414141,0,2.193545294214535,0.42109414548706703
10,0.20202020202020202,0,1.7193019855060043,0.8142354656981904
