,opinion_max_diff,Run,altieri_entropy_index,graph_modularity
16,0.15151515151515152,1,2.1862238710146955,0.3318654231016275
136,1.3636363636363635,1,2.1359969339887868,0.2613883391203703
133,1.3131313131313131,1,2.1591873511969424,0.36052774764355583
431,4.343434343434343,1,0.47075314754092096,0.04918279347792799
496,5.0,1,0.5791326738704283,0.06101253541779694
361,3.6363636363636362,1,0.28624468015878446,0.05301553411507892
275,2.7777777777777777,1,0.6620681558921783,0.10871758276172641
126,1.2626262626262625,1,2.172613339700851,0.3396011400256118
3,0.050505050505050504,1,2.17997729041465,0.3133672997693209
121,1.2121212121212122,1,2.1174672774695673,0.34869345731059087
437,4.393939393939394,1,0.49758097282035124,0.07402736358223985
281,2.8282828282828283,1,0.564080891174891,0.0717162324450534
441,4.444444444444445,1,0.5012890528935728,0.06103469493357841
4,0.0,1,2.1739165001015754,0.3241453070641323
111,1.1111111111111112,1,2.159088250140575,0.3458423401177296
481,4.848484848484849,1,0.4024075063903075,0.05212480935504507
8,0.10101010101010101,1,2.1897933921667456,0.35878294956130263
491,4.94949494949495,1,0.4523637703124645,0.037136779497048245
91,0.9090909090909091,1,2.179538395513644,0.37555176126496004
449,4.545454545454545,1,0.3978312733278945,0.05027897128216682
290,2.929292929292929,1,1.8356328378015254,0.4321620262189957
97,0.9595959595959596,1,2.0704201494314773,0.35056140429553206
357,3.5858585858585856,1,0.4095371914494848,0.04750990017020032
326,3.282828282828283,1,0.31337390690331735,0.054645190757243056
446,4.494949494949495,1,0.3510186068049533,0.04703405687526224
285,2.878787878787879,1,0.5643327828611151,0.1114607659090184
107,1.0606060606060606,1,2.159676109557481,0.3616129455777495
100,1.0101010101010102,1,2.1653122078445235,0.3572580428840643
232,2.323232323232323,2,0.9403779255110242,0.3600559631220085
381,3.8383838383838382,2,0.34025078736760644,0.04854120111815599
327,3.282828282828283,2,0.55361763745086,0.07824511287959542
378,3.7878787878787876,2,0.23487999796078501,0.03243745920622736
317,3.1818181818181817,2,0.3883437222486536,0.09368289084515447
323,3.2323232323232323,2,0.501306355778802,0.06995177496073146
336,3.3838383838383836,2,0.4923595923923492,0.06147971707118888
237,2.3737373737373737,2,1.6721270928747227,0.4498224247059163
272,2.727272727272727,2,0.5034699426100567,0.10056067243926115
312,3.131313131313131,2,0.5109695092858851,0.055883261285858944
362,3.6363636363636362,2,0.4613614128032981,0.060935505023477776
266,2.676767676767677,2,0.6615544405503914,0.13450326310950292
278,2.7777777777777777,2,0.2854287910063975,0.052782829007552406
282,2.8282828282828283,2,0.3706728465144758,0.08115775955420529
367,3.686868686868687,2,0.5682883692448722,0.062492588996311604
356,3.5858585858585856,2,0.4396218297449738,0.039586704340441786
260,2.6262626262626263,2,0.5969661752043671,0.08405691995657955
287,2.878787878787879,2,0.7017994966279426,0.12038150458392713
256,2.5757575757575757,2,0.6910026743911294,0.09006874746235746
292,2.929292929292929,2,0.6085954869549349,0.09736066173821997
352,3.5353535353535355,2,0.4287308947246638,0.049240277412448186
295,2.9797979797979797,2,0.7097433590796821,0.1596754441514956
372,3.7373737373737375,2,0.37837070990098026,0.038869861249491267
251,2.525252525252525,2,0.4603403492406389,0.11026635682471395
302,3.0303030303030303,2,0.29760019766484325,0.036272735399673094
498,5.0,2,0.4375637130127106,0.05015646546355185
247,2.474747474747475,2,1.965670414317479,0.43505915508952286
308,3.080808080808081,2,0.318180390581359,0.06259765336729164
343,3.4343434343434343,2,0.6510569378874862,0.12062157044213398
242,2.4242424242424243,2,1.8423225594405241,0.43569623634528293
347,3.484848484848485,2,0.5749550137625019,0.08253336409971046
0,0.050505050505050504,2,2.185629968034183,0.3288922018806
227,2.2727272727272725,2,0.6071626550492257,0.12285606751533329
76,0.7575757575757576,2,2.083461394227797,0.36869190141425906
457,4.595959595959596,2,0.14798130771255458,0.037664039035227
82,0.8080808080808081,2,2.1740423622948,0.35708180377136817
87,0.8585858585858586,2,1.9661663351513101,0.39330339709394146
90,0.9090909090909091,2,2.1729706718883692,0.3915030106421976
450,4.545454545454545,2,0.37852047659307136,0.03233838691859944
96,0.9595959595959596,2,1.9585113458583625,0.3641766053973263
72,0.7070707070707071,2,2.047520631519186,0.31907164959706263
447,4.494949494949495,2,0.2997583035115598,0.03846605404410457
106,1.0606060606060606,2,2.1751936437594193,0.3875404608431797
442,4.444444444444445,2,0.5035557111879961,0.05364676866768991
116,1.1616161616161615,2,1.9771680602529638,0.3058090318388113
122,1.2121212121212122,2,2.169725534697513,0.38136640963924806
436,4.393939393939394,2,0.611394219746344,0.12079324165922078
127,1.2626262626262625,2,2.100655803938059,0.37877351837964035
432,4.343434343434343,2,0.3757340246792987,0.0561950855429818
102,1.0101010101010102,2,2.1729580018909136,0.3322228425259911
462,4.646464646464646,2,0.37280109833457514,0.03679579481933681
67,0.6565656565656566,2,2.0961456180232876,0.2902502721578407
61,0.6060606060606061,2,2.1404061847271683,0.34801124577857706
