,fermi_alpha,Run,altieri_entropy_index,graph_modularity
28,2.404040404040404,0,1.696382769208984,0.39004240966931103
270,6.363636363636364,0,1.6951072632939823,0.42552923218203875
240,5.878787878787879,0,1.8783548709083835,0.4223964726121999
37,2.5656565656565657,0,1.889670475969109,0.4289208124313789
11,2.1616161616161618,0,1.830365549982033,0.4245575571675444
465,9.515151515151516,0,1.7970721495051036,0.46297539550274147
280,6.525252525252526,0,1.0047732128103726,0.36585362226145146
490,9.91919191919192,0,1.6883005547298955,0.40401135975514235
13,2.242424242424242,0,2.127504267595456,0.33195738018621607
469,9.595959595959597,0,1.881358078252734,0.44902161968415977
40,2.6464646464646466,0,0.7739934612078493,0.1664147523945964
31,2.484848484848485,0,1.7115256678492712,0.45311671799714714
225,5.636363636363637,0,1.854097118325804,0.47043228129328807
275,6.444444444444445,0,2.095943219649475,0.44606808528824515
205,5.313131313131313,0,1.8286901291949522,0.4663437662572489
475,9.676767676767678,0,1.957664759785717,0.4440542910810382
485,9.83838383838384,0,1.5443960562990038,0.33317312784568887
230,5.717171717171718,0,1.7161343862452492,0.41211624116809553
235,5.7979797979797985,0,1.9356254838093123,0.44000618681137815
19,2.323232323232323,0,2.145180573025974,0.44858389184047476
479,9.757575757575758,0,1.8491540437606682,0.3578548810444361
265,6.282828282828283,0,1.6639742883097257,0.40611432338773223
285,6.606060606060606,0,1.813819842893111,0.3959600607565261
220,5.555555555555555,0,1.8407406342222514,0.44403352900896964
460,9.434343434343436,0,2.1621268458177165,0.42757595273309507
295,6.767676767676768,0,2.003138259215157,0.44653826836425226
496,10.0,0,1.6617230016963043,0.3966164740354151
55,2.888888888888889,0,1.7642133647313316,0.39814864244488224
446,9.191919191919194,0,1.9445705838701508,0.32385738551550647
209,5.3939393939393945,0,1.6477973036676001,0.3688092601986773
52,2.808080808080808,0,1.7653701198679437,0.4275087513364081
449,9.272727272727273,0,1.943551147161204,0.3612032147343659
216,5.474747474747475,0,1.7829506713237038,0.46794188796137515
255,6.121212121212122,0,1.1968270809771608,0.3820517702551406
5,2.0,0,2.0263096089631327,0.4243092384789603
246,5.95959595959596,0,2.059925858237306,0.43805896925350307
290,6.686868686868687,0,2.0935944971851157,0.4430927866698765
259,6.202020202020202,0,1.5796238595977317,0.491052753873229
455,9.353535353535353,0,1.7061892994306018,0.4698267128314354
7,2.080808080808081,0,1.5715060682145827,0.4020237639239793
47,2.7272727272727275,0,1.7853001822010275,0.44832671506058375
146,4.343434343434343,1,1.797322285749491,0.34546462235224995
256,6.121212121212122,1,1.8407127936314505,0.3916715300922501
157,4.505050505050505,1,1.6039249002490032,0.3780742606115495
342,7.494949494949496,1,2.0303389049369853,0.4715457645404106
261,6.202020202020202,1,2.1981922467261015,0.383982498534156
346,7.575757575757576,1,1.6730966635522668,0.3926472487889833
