,social_factor,Run,altieri_entropy_index,graph_modularity
340,0.686868686868687,0,1.8052439102238516,0.34632466395109396
270,0.5454545454545455,0,1.6222024747294783,0.3083888348385676
4,0.0,0,2.158919902561445,0.30415991582573915
260,0.5252525252525253,0,1.0317937982439902,0.25699650118199197
265,0.5353535353535354,0,1.8972361168621459,0.3855671220877146
50,0.10101010101010102,0,1.9524054894393705,0.24573507770490474
400,0.8080808080808082,0,2.1021152044976588,0.44323058980949015
55,0.11111111111111112,0,2.0246533648725795,0.28785651078633945
186,0.37373737373737376,1,2.1687370031384794,0.3541041722876481
441,0.888888888888889,1,1.6107127226581295,0.4658242269171534
154,0.31313131313131315,1,2.0101029858894894,0.3030783428074483
361,0.7272727272727273,1,1.924863112288892,0.4592552465420122
436,0.8787878787878789,1,1.709601866643013,0.27196905265003246
166,0.33333333333333337,1,2.045285571214483,0.4075609313783888
180,0.36363636363636365,1,1.7460743243956418,0.300957806244726
176,0.3535353535353536,1,1.7990563574174827,0.42533613263997516
365,0.7373737373737375,1,1.9354810654368833,0.4156438154105434
316,0.6363636363636365,1,1.9100839496722748,0.4285495250351883
321,0.6464646464646465,1,1.5584704460348795,0.2834596438883613
327,0.6565656565656566,1,1.942685167649133,0.29582555736750593
306,0.6161616161616162,1,1.8187674077511133,0.35295764276060926
170,0.3434343434343435,1,2.1840358630572068,0.42495484135355466
461,0.9292929292929294,1,2.084547309030629,0.4567382017663878
311,0.6262626262626263,1,1.6570211697102208,0.33216786133782117
300,0.6060606060606061,1,1.8787930321904398,0.40380348156529644
467,0.9393939393939394,1,1.8506040880866823,0.4424807440603864
256,0.5151515151515152,1,2.028501357992358,0.40135892565422404
294,0.595959595959596,1,1.7074901947100363,0.48117893393563244
251,0.5050505050505051,1,1.5887087562579363,0.29331588898380895
341,0.686868686868687,1,1.9879449840217847,0.35730666665027366
247,0.494949494949495,1,1.3671705524574655,0.3097153457715717
261,0.5252525252525253,1,1.9806126499170302,0.39928184736888866
346,0.696969696969697,1,2.1408283442771814,0.424140236020758
241,0.48484848484848486,1,1.785513379229935,0.3951111120270827
432,0.8686868686868687,1,1.471425017787144,0.2355187034467282
451,0.9090909090909092,1,1.7780345701407345,0.4527446821838618
236,0.4747474747474748,1,2.0254668191800467,0.3601819039818811
266,0.5353535353535354,1,1.798216796040204,0.35916140219150217
446,0.8989898989898991,1,2.106713099197049,0.4200241392929065
231,0.4646464646464647,1,2.16055543708238,0.40332287382068266
272,0.5454545454545455,1,1.5804128082004434,0.2812256734381849
227,0.4545454545454546,1,2.077400389898817,0.4400389911211081
191,0.38383838383838387,1,2.1440370918248877,0.41305392738683666
351,0.7070707070707072,1,1.802997962237481,0.4379725239983965
276,0.5555555555555556,1,2.0045526230356283,0.4436995256812577
336,0.6767676767676768,1,1.8882057696840007,0.42794239133721657
216,0.43434343434343436,1,1.8261359008973514,0.3417482795205389
280,0.5656565656565657,1,1.7383249275384394,0.35211703312752807
456,0.9191919191919192,1,1.5450050303154033,0.2670202995994364
211,0.42424242424242425,1,1.7109755674496279,0.33871568022601833
415,0.8383838383838385,1,1.9858760372413833,0.45173313353759015
286,0.5757575757575758,1,1.6705209757039605,0.42594874734951466
205,0.4141414141414142,1,2.050805175490979,0.35867597100926
201,0.4040404040404041,1,1.8764001496030702,0.4177125745792988
291,0.5858585858585859,1,1.9860109224439657,0.46480034133805126
331,0.6666666666666667,1,2.0949430048151827,0.4067056314802194
198,0.393939393939394,1,2.11531982698968,0.4293548691822507
357,0.7171717171717172,1,1.6635151962464552,0.4766664831791164
220,0.4444444444444445,1,1.669213836067775,0.4068102239494283
371,0.7474747474747475,1,0.8577871266289026,0.21756388067975357
161,0.32323232323232326,1,2.0982990220120508,0.4042281974770434
151,0.30303030303030304,1,2.1904197524903535,0.3689309674689308
406,0.8181818181818182,1,1.6328802040688957,0.3536124447475371
117,0.23232323232323235,1,1.5974128011335937,0.22442310147765385
31,0.06060606060606061,1,2.1378333970039463,0.3349041119838865
476,0.9595959595959597,1,1.490514635157621,0.24170689774448828
382,0.7676767676767677,1,1.4795625698314194,0.37553860252684784
