,fermi_alpha,fermi_b,social_factor,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
76,3.015625,4.4765625,0.51953125,3.296875,0.36328125,1,0.17571916358805917,0.0951433922664642,0.0
57,1.015625,1.4765625,0.42578125,1.296875,0.86328125,1,1.2750437852353573,1.000563585938584,0.16448888660538413
35,3.421875,3.0703125,0.80078125,2.265625,0.98046875,1,1.3676634721375072,1.083460772327808,0.4085514433278894
61,1.015625,1.4765625,0.01953125,0.765625,0.86328125,1,0.22930319186307854,0.16811066124403026,0.03228035552015456
51,1.015625,0.8203125,0.01953125,1.296875,0.86328125,1,0.4626694976629405,0.3754629898460498,0.07830769790391626
91,3.015625,4.4765625,0.92578125,3.296875,0.36328125,1,0.12252936441712758,0.10042902350569977,0.0
6,1.515625,3.7265625,0.39453125,1.796875,0.98828125,1,2.1725667501650756,1.759408995082746,0.17545755796294413
85,3.015625,3.8203125,0.51953125,3.296875,0.36328125,1,0.16091710258539021,0.12158798291614818,1.1102230246251565e-16
16,1.515625,3.0703125,0.39453125,1.796875,0.98828125,1,1.555692203342492,1.2674883956492233,0.4198207862032576
8,3.421875,3.7265625,0.39453125,1.796875,0.98828125,1,1.659373494877833,1.3205495421549067,0.4281787471263634
26,1.515625,3.7265625,0.39453125,2.265625,0.98828125,1,0.6223612153558832,0.5076789357912607,0.0458234614927647
71,2.921875,0.8203125,0.42578125,0.765625,0.10546875,1,2.000013177294757,1.6272515296332344,0.7030155951053497
21,1.515625,3.7265625,0.80078125,1.796875,0.98828125,1,1.4305153799333181,1.1488740514337685,0.3405003665544415
31,1.515625,3.7265625,0.39453125,1.796875,0.98046875,1,2.020742100737513,1.612928066909843,0.19414859748003716
46,2.921875,1.4765625,0.01953125,1.296875,0.86328125,1,2.1587482673494773,1.7588901153358374,0.5137988849285908
52,1.015625,0.8203125,0.01953125,1.296875,0.86328125,2,1.1442319940223988,0.91399749581642,0.1041800883555872
75,3.015625,4.4765625,0.51953125,3.296875,0.36328125,2,0.29502208740182284,0.29651944988352685,0.0
56,1.015625,1.4765625,0.42578125,1.296875,0.86328125,2,1.3612991054629882,1.0396732307836754,0.36632239120062604
72,2.921875,0.8203125,0.42578125,0.765625,0.10546875,2,1.5989154807485286,1.2718355405472694,0.37227278071722514
47,2.921875,1.4765625,0.01953125,1.296875,0.86328125,2,2.1425333534520097,1.7504560100090962,0.5063609800228609
63,1.015625,1.4765625,0.01953125,0.765625,0.86328125,2,0.5431393526131042,0.45118938628567434,0.24045241896820796
32,1.515625,3.7265625,0.39453125,1.796875,0.98046875,2,1.686621693771402,1.408294642889631,0.2859282743005959
17,1.515625,3.0703125,0.39453125,1.796875,0.98828125,2,1.4769767948374461,1.1334618474329234,0.3605552190319309
97,3.015625,4.4765625,0.51953125,2.765625,0.36328125,2,0.41019443214352075,0.3690658606120243,0.0
3,1.421875,0.0703125,0.30078125,0.265625,0.48046875,2,0.17394400933154894,0.13375758894586431,0.5542967571943301
5,1.515625,3.7265625,0.39453125,1.796875,0.98828125,2,1.2110539073920832,0.9949242956867665,0.10197413705112038
9,3.421875,3.7265625,0.39453125,1.796875,0.98828125,2,1.9025584643395232,1.588050078463785,0.3338163424690477
92,3.015625,4.4765625,0.92578125,3.296875,0.36328125,2,0.13890552999872238,0.13959385422174764,0.0
45,1.015625,1.4765625,0.01953125,1.296875,0.86328125,2,0.386021683169963,0.3482994031218267,0.03440695053617725
22,1.515625,3.7265625,0.80078125,1.796875,0.98828125,2,1.6946730275939514,1.3322095498693196,0.27629119005220126
65,1.015625,1.4765625,0.01953125,1.296875,0.10546875,2,2.136028419670994,1.7083110734890878,0.40545771428793737
27,1.515625,3.7265625,0.39453125,2.265625,0.98828125,2,0.9060320875554229,0.686335681829026,0.060309430109508594
82,0.921875,4.4765625,0.51953125,3.296875,0.36328125,2,0.18935569334995542,0.19055324180469677,0.0
38,3.421875,3.0703125,0.80078125,2.265625,0.98046875,2,0.40849643233552585,0.3732734012745915,0.3136164079143874
88,3.015625,3.8203125,0.51953125,3.296875,0.36328125,2,0.03175647705781095,0.037817517439804396,0.0
87,3.015625,3.8203125,0.51953125,3.296875,0.36328125,3,0.2669955900465062,0.25742989493019985,0.0
93,3.015625,4.4765625,0.92578125,3.296875,0.36328125,3,0.23469479420055805,0.1665065885072356,0.0
67,1.015625,1.4765625,0.01953125,1.296875,0.10546875,3,2.1009021031428876,1.7373852480680043,0.5325190734270955
84,0.921875,4.4765625,0.51953125,3.296875,0.36328125,3,0.17391112624810587,0.1583247635850829,1.1102230246251565e-16
73,2.921875,0.8203125,0.42578125,0.765625,0.10546875,3,1.4190821107038527,1.1494590428754485,0.5246333149731068
78,3.015625,4.4765625,0.51953125,3.296875,0.36328125,3,0.21105639358184997,0.14640498215308304,0.0
0,1.421875,0.0703125,0.30078125,0.265625,0.48046875,3,0.26372411432515075,0.23324327579941062,0.5597174381550591
48,2.921875,1.4765625,0.01953125,1.296875,0.86328125,3,2.0839520818037807,1.6852585801827835,0.4051394986196199
33,1.515625,3.7265625,0.39453125,1.796875,0.98046875,3,1.6709657395582134,1.3739158229744173,0.30191236018024514
66,1.015625,1.4765625,0.01953125,0.765625,0.86328125,3,1.219472897873606,0.9621917931496724,0.11566788559466183
39,3.421875,3.0703125,0.80078125,2.265625,0.98046875,3,1.7141255741964994,1.3761282957559644,0.46821489228138846
19,1.515625,3.0703125,0.39453125,1.796875,0.98828125,3,0.3456564880928953,0.2922051105036795,0.013642595082325765
44,1.015625,1.4765625,0.01953125,1.296875,0.86328125,3,0.6401029414880024,0.4799664295047525,0.04119675211346629
15,3.421875,3.7265625,0.39453125,1.796875,0.98828125,3,1.5942026722279885,1.299419235735154,0.14079510300206366
23,1.515625,3.7265625,0.80078125,1.796875,0.98828125,3,1.5584769899128297,1.2443752869408276,0.2893563012902688
28,1.515625,3.7265625,0.39453125,2.265625,0.98828125,3,0.553208537344016,0.5114301825552087,0.04780135116318743
53,1.015625,0.8203125,0.01953125,1.296875,0.86328125,3,0.7187977568774163,0.6275670420754283,0.07843475269624615
58,1.015625,1.4765625,0.42578125,1.296875,0.86328125,3,1.356519822628109,1.0588609102574895,0.21311339886516428
10,1.515625,3.7265625,0.39453125,1.796875,0.98828125,3,1.7190724177113375,1.3755647966468552,0.20851004774358306
98,3.015625,4.4765625,0.51953125,2.765625,0.36328125,3,0.3970977489843326,0.28307361883796434,0.0
13,3.421875,3.7265625,0.39453125,1.796875,0.98828125,4,1.7947213573774832,1.4198731973630703,0.3552655798646872
94,3.015625,4.4765625,0.92578125,3.296875,0.36328125,4,0.15309289832931075,0.13078077741337407,0.0
18,1.515625,3.0703125,0.39453125,1.796875,0.98828125,4,1.653370038460939,1.3085741964607533,0.38862139221709946
12,1.515625,3.7265625,0.39453125,1.796875,0.98828125,4,1.8661315075299403,1.4464543415227669,0.1695998398560562
89,3.015625,3.8203125,0.51953125,3.296875,0.36328125,4,0.0871618507286712,0.073041654140314,0.0
2,1.421875,0.0703125,0.30078125,0.265625,0.48046875,4,0.40698022152883007,0.31742721166720106,0.6097099820711598
59,1.015625,1.4765625,0.42578125,1.296875,0.86328125,4,1.372938382318889,1.0524554530026804,0.3950748140985397
83,0.921875,4.4765625,0.51953125,3.296875,0.36328125,4,0.2943607314241175,0.2569077517279785,0.0
