,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
61,5.46875,4.4140625,0.37109375,2,3.00390625,0.37890625,1,0.12441471866531773,0.10207664818318136,0.0280578976283221
31,4.46875,8.1640625,0.24609375,2,5.60546875,0.03515625,1,0.09379460478424675,0.1137659544823694,0.028081955879475592
41,5.46875,4.4140625,0.37109375,2,6.73046875,0.37890625,1,0.22704580186422366,0.20621699391163933,0.030057991179160345
51,5.46875,4.4921875,0.37109375,2,6.73046875,0.37890625,1,0.20358648077608674,0.18970220518930014,0.02635661240778942
66,5.46875,4.4140625,0.37109375,2,6.73046875,0.16015625,1,0.17732847999750828,0.15755113505747576,0.027762472117217288
46,5.53125,4.4140625,0.37109375,2,6.73046875,0.37890625,1,0.13739321338868427,0.15248515723876738,0.02699585587894185
11,4.46875,8.2421875,0.24609375,2,5.60546875,0.00390625,1,0.17588693138093955,0.15637809519944898,0.02743307364547709
22,4.46875,8.1640625,0.24609375,3,5.60546875,0.00390625,1,0.22896716098756356,0.19252562071104537,0.008873239152621282
72,5.53125,4.4921875,0.02734375,2,3.00390625,0.16015625,1,0.6735981735592039,0.6214223244354985,0.04604371520961837
76,9.46875,9.4140625,0.87109375,4,2.23046875,0.87890625,1,1.7377782912165154,1.3816783625084907,1.1102230246251565e-16
1,4.46875,8.1640625,0.24609375,2,5.60546875,0.00390625,1,0.08396161438681021,0.08607503019900353,0.026402145496570467
16,4.46875,8.1640625,0.65234375,2,5.60546875,0.00390625,1,0.16349534022332662,0.1556321343044292,0.02630141288428518
80,9.53125,9.4140625,0.87109375,4,2.23046875,0.87890625,1,1.580622969743344,1.260352021712755,1.1102230246251565e-16
25,4.46875,8.1640625,0.24609375,2,6.37890625,0.00390625,1,0.16732719305064536,0.16095072311392686,0.02756692495268779
91,9.46875,9.4140625,0.52734375,4,2.23046875,0.87890625,1,1.7177577142383307,1.3335983257197028,0.0
86,9.46875,9.4921875,0.87109375,4,2.23046875,0.87890625,1,0.2247630096688516,0.20283515466294125,0.0
6,8.53125,8.1640625,0.24609375,2,5.60546875,0.00390625,1,0.12081358431373154,0.10254752706069378,0.02489510728472268
92,9.46875,9.4140625,0.52734375,4,2.23046875,0.87890625,2,1.7605818656828267,1.4735475885110347,0.0
53,5.46875,4.4921875,0.37109375,2,6.73046875,0.37890625,2,0.2803591589820159,0.1865328695755462,0.028329038555019857
67,5.46875,4.4140625,0.37109375,2,6.73046875,0.16015625,2,0.1311577530817183,0.13546484451784443,0.026218044993160293
58,5.46875,4.4140625,0.02734375,2,6.73046875,0.37890625,2,0.2872518651422323,0.24213218167117886,0.028909447313855544
82,9.53125,9.4140625,0.87109375,4,2.23046875,0.87890625,2,1.5409405567028074,1.2473698900495986,1.1102230246251565e-16
62,5.46875,4.4140625,0.37109375,2,3.00390625,0.37890625,2,0.18697842933672482,0.1350975174636188,0.02636566403779351
77,9.46875,9.4140625,0.87109375,4,2.23046875,0.87890625,2,1.6263129768686335,1.3229721392816987,0.0
87,9.46875,9.4921875,0.87109375,4,2.23046875,0.87890625,2,1.757929919672087,1.3803540723972934,0.0
71,5.53125,4.4921875,0.02734375,2,3.00390625,0.16015625,2,0.7667997208762589,0.6077568843909905,0.03973079549485722
47,5.53125,4.4140625,0.37109375,2,6.73046875,0.37890625,2,0.18492825259734158,0.14064359025061413,0.0272149489735194
