,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
10,7.09375,7.4609375,0.51953125,4,4.26953125,0.23046875,3,0.22824660083856022,0.18193326531353574,0.0
48,5.09375,4.9609375,0.26953125,1,2.01953125,0.48046875,3,1.6058051458061662,1.2494073955357496,0.09443165986337307
44,6.03125,4.9609375,0.26953125,1,2.01953125,0.48046875,4,1.4686761560707142,1.2218609065408457,0.1342553312535166
24,8.03125,7.4609375,0.51953125,3,4.26953125,0.23046875,4,0.19567797724766486,0.19872967303385958,0.0
34,8.03125,7.4609375,0.51953125,4,4.26953125,0.91796875,4,0.22851393623758648,0.2207854885281124,0.0
29,8.03125,7.4609375,0.51953125,4,8.98046875,0.23046875,4,0.34510205124683885,0.30082781539851966,0.0
19,8.03125,7.4609375,0.69140625,4,4.26953125,0.23046875,4,0.08856288134905817,0.10061360937632462,1.1102230246251565e-16
13,8.03125,9.2578125,0.51953125,4,4.26953125,0.23046875,4,0.13482047979745032,0.09636364511183484,1.1102230246251565e-16
8,7.09375,7.4609375,0.51953125,4,4.26953125,0.23046875,4,0.137185787353968,0.14170268959799362,0.0
4,8.03125,7.4609375,0.51953125,4,4.26953125,0.23046875,4,0.2846481151831681,0.2803705996969506,0.0
38,7.09375,9.2578125,0.69140625,3,8.98046875,0.91796875,4,0.09046287240729044,0.0814796534821854,0.00149333189375625
49,5.09375,4.9609375,0.26953125,1,2.01953125,0.48046875,4,2.1053086077200214,1.6760056273984885,0.09254503718175645
