,fermi_alpha,fermi_b,social_factor,connections_per_step,opinion_max_diff,happiness_threshold,Run,Altieri Entropy Index,Leibovici Entropy Index,Network Modularity
64,8.78125,2.0703125,0.98828125,2,1.73828125,0.76171875,1,1.696392605845017,1.3535998026939522,0.4967995172714463
73,8.78125,7.7734375,0.78515625,2,1.73828125,0.76171875,1,1.5214752751869827,1.2200269249350346,0.02536000555856821
75,8.78125,7.7734375,0.98828125,3,1.73828125,0.76171875,1,1.5450189648179529,1.2121790639069774,0.008811201879813213
21,7.34375,2.7734375,0.48828125,4,6.23828125,0.26171875,1,0.2314213432915585,0.2191930855529763,0.0016483138603373693
78,8.78125,7.7734375,0.98828125,2,9.82421875,0.76171875,1,0.13022883256170223,0.0763417623797088,0.02518154360119756
15,4.78125,2.7734375,0.48828125,4,6.23828125,0.26171875,1,0.31462883927943996,0.2417310496832539,0.0027240517817380683
50,7.34375,7.0703125,0.28515625,1,5.32421875,0.01171875,1,0.16758900498515072,0.11156623000620516,0.06133643469344996
44,4.78125,2.7734375,0.48828125,4,5.32421875,0.26171875,1,0.17389524043212942,0.11530678790292913,0.00046648870056717473
87,8.78125,7.7734375,0.98828125,2,1.73828125,0.51171875,1,1.509621104182494,1.1975822213791862,0.027129178013044652
9,2.34375,0.8203125,0.91015625,4,8.69921875,0.13671875,1,0.7616439675792848,0.5205179299846691,0.050372523280195675
7,5.78125,9.0234375,0.11328125,4,7.36328125,0.13671875,1,0.15689701562119363,0.15969745050591183,0.0
4,5.78125,9.0234375,0.11328125,4,8.69921875,0.13671875,1,0.15609250877477562,0.16391025900430758,0.0
91,3.34375,2.0703125,0.78515625,3,9.82421875,0.51171875,1,0.31568321719242315,0.2081111752285937,0.037139963267725555
46,4.78125,2.7734375,0.48828125,4,6.23828125,0.01171875,1,0.2169527035639552,0.16885258886119697,0.0004997412886233732
57,8.78125,7.7734375,0.98828125,2,1.73828125,0.76171875,1,1.4077289139928248,1.1102786719403055,0.024651312949135473
56,8.78125,7.7734375,0.98828125,2,1.73828125,0.76171875,2,2.082767535303392,1.6915346547398675,0.026761663712197917
